"V1","V2","V3","V4","V5","V6","V7","V8"
-0.048064819,-0.048027309,-0.042081445,-0.068451423,-0.051951313,-0.042155939,-0.045553595,-0.058778649
-0.052854411,-0.049227435,-0.045575381,-0.072044168,-0.053509246,-0.043961813,-0.047936159,-0.06245465
-0.051022482,-0.046275184,-0.044007895,-0.070230517,-0.053451102,-0.043126986,-0.046593369,-0.058403845
-0.045944257,-0.040623424,-0.041870619,-0.065518266,-0.051415751,-0.03978093,-0.042865259,-0.050622575
-0.047458452,-0.041010256,-0.043288059,-0.06673122,-0.051554387,-0.040031318,-0.042506144,-0.050344332
-0.049432022,-0.045159754,-0.043888007,-0.06807898,-0.051894298,-0.041115004,-0.043748345,-0.053240368
-0.063100951,-0.063265566,-0.049006576,-0.076678337,-0.049949269,-0.04089417,-0.047559695,-0.065365081
-0.060298948,-0.060290297,-0.047508615,-0.074776052,-0.050549938,-0.041409429,-0.047441881,-0.064011784
-0.059463772,-0.05975005,-0.046847281,-0.073445547,-0.049824091,-0.040460581,-0.046834492,-0.063122565
-0.061488856,-0.061661966,-0.047995054,-0.069602703,-0.048977879,-0.039944047,-0.046570933,-0.063957986
-0.060665221,-0.060960126,-0.047380712,-0.068792901,-0.048747952,-0.039748477,-0.046372311,-0.063369119
-0.05712787,-0.056883762,-0.046177303,-0.066870215,-0.048075421,-0.038307371,-0.044563021,-0.058553831
-0.053414524,-0.052916987,-0.044762676,-0.064269498,-0.048262729,-0.037900878,-0.043200313,-0.055919036
-0.052556135,-0.052961053,-0.043634853,-0.062440322,-0.046506915,-0.035578533,-0.041764655,-0.054775359
-0.043710461,-0.043356902,-0.040530994,-0.059756467,-0.047650674,-0.035425435,-0.03916075,-0.047383657
-0.044063574,-0.041228434,-0.039246423,-0.055994938,-0.04772468,-0.041830174,-0.038343343,-0.045846861
-0.041885825,-0.040701522,-0.03960083,-0.055223305,-0.046261939,-0.040225413,-0.037535614,-0.046103459
-0.052772261,-0.050615591,-0.04456659,-0.057866337,-0.04419057,-0.038792336,-0.039297374,-0.053748133
-0.050373757,-0.048899095,-0.042473321,-0.055964781,-0.043359527,-0.03796055,-0.038391476,-0.051699274
-0.056808657,-0.05407303,-0.04411357,-0.058704436,-0.043450969,-0.039171269,-0.041585036,-0.057827542
-0.054149007,-0.051324095,-0.042221654,-0.05724185,-0.043282736,-0.037764558,-0.040867513,-0.055628165
-0.047529232,-0.046153132,-0.039199549,-0.052532031,-0.042259011,-0.036316693,-0.038472688,-0.049136474
-0.046411621,-0.044493651,-0.03812435,-0.0507872,-0.037112356,-0.033601872,-0.034847904,-0.047846933
-0.045680003,-0.044316019,-0.036910778,-0.05001577,-0.034958906,-0.028480726,-0.034836428,-0.046102404
-0.05058608,-0.047642639,-0.039065363,-0.051850622,-0.035660481,-0.028932026,-0.036426246,-0.049562636
-0.049330803,-0.046615035,-0.038366736,-0.044465533,-0.036394039,-0.029332187,-0.035352995,-0.048678032
-0.03808466,-0.045115588,-0.037919085,-0.045165613,-0.037172132,-0.030225914,-0.035500007,-0.047998817
-0.037149768,-0.04319592,-0.03691399,-0.045502435,-0.037749586,-0.030919936,-0.035395587,-0.046830926
-0.039396678,-0.048050994,-0.037879395,-0.043270713,-0.03556306,-0.028565757,-0.035626715,-0.049561529
-0.0325238,-0.045493638,-0.035259493,-0.040110429,-0.032568189,-0.025962656,-0.033429712,-0.046012096
-0.03413662,-0.04573553,-0.03583311,-0.042089704,-0.034472437,-0.027089952,-0.034493015,-0.047200516
-0.044800691,-0.049093446,-0.037717436,-0.055227573,-0.034885546,-0.026145293,-0.038889902,-0.050505791
-0.04018979,-0.042333867,-0.033355004,-0.053221377,-0.037250379,-0.028277965,-0.037815366,-0.04615789
-0.045838067,-0.045720829,-0.034788188,-0.05594598,-0.038881571,-0.029547169,-0.039032125,-0.049608853
-0.042908518,-0.041659401,-0.033332893,-0.053262433,-0.038653795,-0.029183393,-0.037369168,-0.045861969
-0.048219794,-0.045843284,-0.033719055,-0.054795643,-0.039049491,-0.035153852,-0.037626848,-0.0474099
-0.045697643,-0.044330922,-0.033100678,-0.053619205,-0.037786735,-0.033921394,-0.037229447,-0.044463398
-0.048296904,-0.046528446,-0.034005303,-0.055432722,-0.038124833,-0.034230599,-0.038006504,-0.046578219
-0.056060918,-0.052348282,-0.035545546,-0.056034914,-0.039957103,-0.035750975,-0.039278708,-0.051461172
-0.05519968,-0.051832392,-0.035411516,-0.055821232,-0.039455878,-0.03421844,-0.039437734,-0.051336651
-0.056427094,-0.051713219,-0.036469616,-0.057549196,-0.040206722,-0.035311577,-0.040691234,-0.053359745
-0.054385526,-0.050012097,-0.035763054,-0.055989721,-0.041241636,-0.036557852,-0.039741651,-0.051088945
-0.046486831,-0.043209514,-0.033491173,-0.046735804,-0.040758988,-0.035814325,-0.037947857,-0.044423699
-0.043341978,-0.041460864,-0.032498929,-0.0435025,-0.038599886,-0.033347297,-0.036915228,-0.042524131
-0.036009719,-0.03732495,-0.031875663,-0.042847275,-0.03935865,-0.034883572,-0.036173931,-0.039450958
-0.040292855,-0.040113409,-0.033430203,-0.045810594,-0.039798566,-0.035614012,-0.038048704,-0.043543684
-0.036506685,-0.037431111,-0.031219665,-0.041640794,-0.034179745,-0.027258179,-0.036734621,-0.039848762
-0.036896792,-0.038990016,-0.031316621,-0.041265477,-0.033635725,-0.026252782,-0.036735929,-0.038324411
-0.035174474,-0.037654204,-0.030127583,-0.039394875,-0.036465462,-0.025077603,-0.033084937,-0.037146322
-0.035183817,-0.036709373,-0.031962202,-0.043539376,-0.037507972,-0.028589049,-0.034601895,-0.038957307
-0.032814693,-0.0344246,-0.031181047,-0.042638696,-0.037173676,-0.028749588,-0.033614476,-0.037474348
-0.03209735,-0.033741182,-0.031400421,-0.043178469,-0.036128732,-0.028171482,-0.033263802,-0.038235043
-0.041015397,-0.041304238,-0.038274354,-0.053648703,-0.041880923,-0.032635238,-0.038630646,-0.047862457
-0.030576229,-0.033249583,-0.034927489,-0.051089087,-0.041300526,-0.037590195,-0.037718987,-0.041768526
-0.022708155,-0.027848264,-0.031631364,-0.043872662,-0.037032775,-0.033182645,-0.034361129,-0.036588213
-0.02224841,-0.029365436,-0.03147111,-0.047070605,-0.037603695,-0.033457974,-0.033972916,-0.03726855
-0.014769749,-0.023896925,-0.029027143,-0.044463364,-0.0368953,-0.032551966,-0.030234619,-0.03229684
