"V1","V2","V3","V4","V5","V6","V7","V8"
-0.0658049276323515,-0.0598324242565887,-0.0440517429238067,-0.0621309382526186,-0.0678882802996003,-0.0527359846386139,-0.087670092185632,-0.0790316199434274
-0.0560772383249606,-0.0446901494030232,-0.0446077613550462,-0.0661963447136598,-0.0542516787492298,-0.0544575733634466,-0.0705230712363373,-0.0769335563632069
-0.0565893442140778,-0.0590586870893781,-0.0489403597783269,-0.0530339475340646,-0.062066166119419,-0.0562341261505593,-0.077817372484417,-0.073505892542505
-0.0575825673479498,-0.0552604137437856,-0.0349086902703067,-0.0493990254899161,-0.0588195228081978,-0.0612914724704623,-0.0604937382630724,-0.074946982430432
-0.0634778343765668,-0.0555375864620849,-0.0450349214761249,-0.0581797879853449,-0.0542160185136085,-0.0692276013818087,-0.093642860463133,-0.0713467102022904
-0.0632391302680479,-0.0650512561502014,-0.0443209320812425,-0.0636781173572537,-0.0526938131522543,-0.0660682532007141,-0.0632007410194129,-0.0739302466093812
-0.0594475834729554,-0.06416964425952,-0.0521095695891568,-0.0700808670350538,-0.0475719115225189,-0.0664311018573314,-0.0692968253262004,-0.0879117847236145
-0.0590789486414828,-0.0624254268672149,-0.0475472544958279,-0.072213268788623,-0.0646952841179902,-0.0799269564705359,-0.0959728050091683,-0.0869819474705399
-0.0630791944002154,-0.0683446896609716,-0.0420342349061117,-0.0462420075916474,-0.0547961248256299,-0.052450869945351,-0.0701518706899601,-0.0784072143805324
-0.0684653769111669,-0.0698782274415875,-0.0579279519424426,-0.0471998487862149,-0.0596412808902233,-0.0678864957740276,-0.0968564079291837,-0.0930095917993223
-0.0694872652688022,-0.0585666996970774,-0.0468474752896718,-0.0561407121374061,-0.063006251665175,-0.0742803263559012,-0.0758679073391386,-0.0716048632965339
-0.0605965656699204,-0.0666671316152549,-0.0587432251033187,-0.0671595208981279,-0.0701990320406573,-0.0829811455480651,-0.105834068359617,-0.0903886573909549
-0.0677045173002902,-0.0679008430052586,-0.0562946624441316,-0.0660812174838547,-0.0662296870475759,-0.086317362928703,-0.0684272941139907,-0.0969490680348455
-0.0650637977306278,-0.066801313234228,-0.056286419901012,-0.0676653535597278,-0.0658475151143451,-0.0701646340895814,-0.0902473389196956,-0.0746890778327743
-0.0738136709328607,-0.0662352256536223,-0.0491369976648181,-0.0738476420782855,-0.063203286007648,-0.050771095875587,-0.0984882958051414,-0.0830031993937562
-0.0759322676390721,-0.0562459597043047,-0.0571799124424787,-0.0770528495143406,-0.0641617516732678,-0.0754734478208351,-0.0851893320461243,-0.0744796907014835
-0.0675909808358383,-0.0650356901317135,-0.0483977415929902,-0.074394756411923,-0.0656510704492685,-0.0763553142184186,-0.0698792676256187,-0.0904062107489616
-0.0673174891771931,-0.0672731182778374,-0.0501338235643097,-0.0604408319807412,-0.0643145882681635,-0.0764620982727472,-0.081560534980763,-0.0831002132337365
-0.0824541625257787,-0.0689913598506584,-0.0574313023430763,-0.0778505495120739,-0.0614891873101848,-0.0747835365287802,-0.0921790194393984,-0.0920492740391244
-0.0711821654294349,-0.0687722078769449,-0.0509606798118087,-0.070340706584447,-0.058099062135291,-0.0779474097963044,-0.0969384564812271,-0.0787753617641542
-0.0618586946686603,-0.0681879655910765,-0.0526395072694378,-0.0734813873109749,-0.0612752781805197,-0.0733783094209644,-0.109573901702398,-0.0779148943218326
-0.0574140979246686,-0.0779245158579968,-0.0502196468554989,-0.0707054714028481,-0.057473143428,-0.0679718759015874,-0.0870481149002938,-0.0783438745844789
-0.0746833354379389,-0.0615382124171176,-0.0705695699745145,-0.079036819721616,-0.0715232553326755,-0.0692821407028541,-0.0942351880405966,-0.0921618925371828
-0.0723429433476174,-0.0644412399509085,-0.0831842847999093,-0.0825763369462086,-0.0666240472898045,-0.0721389644791342,-0.085099397944121,-0.0860039379222877
-0.0642490620187011,-0.076269133816902,-0.074363243784549,-0.0827055498576044,-0.065401118328895,-0.0768791659966525,-0.0836931612815102,-0.1061860099619
-0.0782697334370558,-0.062922442018983,-0.0664064612651347,-0.0819968608185708,-0.0692189278043088,-0.081233174559294,-0.113115859372621,-0.0848253730085738
-0.0784838359352018,-0.0740995264723459,-0.067122553813168,-0.0674351859200635,-0.0748730400674497,-0.0801590813948361,-0.0896481013249411,-0.0791653165259339
-0.0587715523797499,-0.0627442030411631,-0.0598590028287235,-0.0683148970299648,-0.0743600121204582,-0.0584465956724637,-0.0865610329531465,-0.104815014636568
-0.0706640606066996,-0.061031193173788,-0.0598345561547494,-0.0737889188989953,-0.072897027812013,-0.0790026423465613,-0.0983022572375193,-0.103829470242665
-0.0699591903665067,-0.0705932298920068,-0.0599523681321009,-0.0799748453149272,-0.0605870083463487,-0.0710965159286867,-0.0817665037521094,-0.0964880222937343
-0.072631195073793,-0.0621040542135492,-0.0738326608014433,-0.0992749305424466,-0.0701105111514856,-0.0699684561197545,-0.114894788424359,-0.106226803348493
-0.0694244945914505,-0.0802681030038346,-0.0534732877567963,-0.0678589275393549,-0.0625201385356526,-0.0767701619634539,-0.0904013446620972,-0.0903429551944979
-0.0796731758410181,-0.0729591163743377,-0.0715765802380332,-0.0734859187173704,-0.0642638009212691,-0.0843168778478314,-0.0853674186772208,-0.0952809452473392
-0.0640430248484095,-0.0655743982839424,-0.0509103129833656,-0.0755644503416753,-0.0647234170098163,-0.0706039084516634,-0.0926316525221521,-0.0934687940996407
-0.0598368835515906,-0.0708887505139544,-0.0532270435327448,-0.0662021393168528,-0.0620225985766269,-0.0731231617303304,-0.0764749748581746,-0.0760426482423529
-0.0739146343069628,-0.0640250859314209,-0.0591038860513876,-0.0769958656801677,-0.0629014389521476,-0.0806292587636631,-0.0935789340670345,-0.0926352497007139
-0.0599609202518071,-0.0712622716387593,-0.0466983491666934,-0.07704044141945,-0.044372639648869,-0.0617567613250397,-0.0702077419949969,-0.085396958680377
-0.0667463562546152,-0.0631873750755444,-0.0495349649569096,-0.0715449962733155,-0.0528915552936876,-0.0735675339718097,-0.0722740857072808,-0.0709150896179562
-0.0530695094254395,-0.0608312481340847,-0.0628369443896166,-0.0993906766004808,-0.0489420468460785,-0.0751925328209417,-0.0711515438395776,-0.0714044093572109
-0.0634115498887666,-0.0579479968784145,-0.0533313658687902,-0.0337623801052292,-0.0659239544977053,-0.0704619096422656,-0.0622560980435092,-0.077510757036732
-0.0791835786487873,-0.067395695957499,-0.0521767581297847,-0.085345651780217,-0.0576103729489511,-0.0723901509767925,-0.0722799736696063,-0.066723432294051
-0.0622443509193824,-0.0713195564611187,-0.0573502853706404,-0.0708443277985877,-0.0631499314448569,-0.0773492793405033,-0.0743109474760521,-0.0876788440031489
-0.063779856375545,-0.0680334691920543,-0.0563344122203743,-0.0705904155616519,-0.052010242062119,-0.0758174587932039,-0.0711752499144249,-0.0847727518633405
-0.0558216124757124,-0.0668337371814519,-0.0509305794688473,-0.0656375871804864,-0.0545744642071181,-0.0602834594948918,-0.0326198338838358,-0.0768531332608387
-0.0788776766183034,-0.061026677805883,-0.0618356265387158,-0.0611016132767423,-0.0649192549402597,-0.0634604009902903,-0.0771757699459111,-0.0977594359506023
-0.0587969259017705,-0.06108221260012,-0.050259869874148,-0.0742675841809534,-0.0515344113035511,-0.0665490997171583,-0.0889799378833808,-0.0897579247818843
-0.074474731577622,-0.0599206911798526,-0.0483107372988206,-0.0787963912810616,-0.0546251823538416,-0.0582756663893668,-0.0810072190806312,-0.077917714623943
-0.0530855559037696,-0.0650195169803139,-0.0460210215091056,-0.060911087492063,-0.0573685190007222,-0.0554091383364803,-0.0676647388698311,-0.0647143700137988
-0.0623389513452422,-0.0541277919688889,-0.0675460952996065,-0.0705413751725794,-0.0605598095713133,-0.06888674121978,-0.0677524748571379,-0.0765203959278689
-0.0658095391220763,-0.066899368630627,-0.050243524515854,-0.0779672687235599,-0.0608124413546884,-0.0804267089916896,-0.0798245797874111,-0.0767660248132626
-0.0628427431921162,-0.0643483536839153,-0.0517513174424082,-0.0711832979185622,-0.0646944755254346,-0.0763084974743314,-0.0721482269579779,-0.0808638182362011
-0.0638804581366794,-0.0680449495952821,-0.0399683173316541,-0.0711662066997125,-0.0616901650579314,-0.0882772144614163,-0.0675764097851421,-0.0941038922388244
-0.0806645902773306,-0.0630650762199192,-0.0535385802284367,-0.0692013765349634,-0.0606450963099437,-0.0682929873149214,-0.0326496401235325,-0.0990151947521396
-0.0659479182165619,-0.0676308667173842,-0.0690524224356563,-0.0890006668583692,-0.0728203701658388,-0.0827395198043736,-0.0771996676075356,-0.0850978600640209
-0.0642925007664199,-0.0580805631273864,-0.0555212348011674,-0.0748282421211122,-0.0710726231763973,-0.0863243839758941,-0.0632240436536916,-0.0647569696287916
-0.0697675899759045,-0.0660942044061163,-0.0560775145427154,-0.084492773308173,-0.0604565196832123,-0.0839941637484568,-0.0685632526373309,-0.080995537189712
-0.0780259467720916,-0.0721465993792484,-0.0538986841106798,-0.0803784523418242,-0.0742549770594018,-0.085348297155981,-0.0781821563846592,-0.0928418686609567
-0.0806559592476692,-0.0648476724114975,-0.0604870260146512,-0.0847784049491477,-0.0627927315692522,-0.0713695962210173,-0.0880028033511033,-0.0693628098679507
-0.0727576001110754,-0.0689760053278735,-0.062308215602516,-0.0817972676210755,-0.0614609539101305,-0.0862138912773267,-0.0673995037659708,-0.0805724339603749
-0.078215033765524,-0.0707111070613405,-0.052025277572085,-0.0761393094292106,-0.070683175762426,-0.0878691130109891,-0.0744021358235776,-0.0842434872091119
-0.0775505531307367,-0.0752623419159989,-0.0487739458962909,-0.0786542213062777,-0.0633115149731002,-0.0779495788189372,-0.0918749617183593,-0.0893773781953917
-0.0788716581013044,-0.0789568004764071,-0.0671650879842273,-0.0842042709768814,-0.0643652033444573,-0.0788194120162719,-0.0731163435773988,-0.0885782315629428
-0.0713988655966394,-0.0780314745534221,-0.0661610103151572,-0.0880432377679396,-0.0619421669078602,-0.0871107429757457,-0.0829273831484185,-0.100583595138555
-0.0879831567362682,-0.0725999634418516,-0.0671370594907752,-0.0924408428905096,-0.0793597390136997,-0.0914833598871778,-0.0711434931331061,-0.0867160057852612
-0.0883306104474844,-0.0939599313792828,-0.0713631553405795,-0.0853606232425135,-0.0603761932523844,-0.0845496206705582,-0.0794817160557684,-0.0804551567844592
-0.0833097266832371,-0.0657598102154572,-0.0709145654394954,-0.0915781435032007,-0.0580504942959948,-0.0858394382384501,-0.0765540183403683,-0.0753206765625693
-0.0844765162864975,-0.07520431394429,-0.0683940551912815,-0.0805847979399325,-0.0777475561218234,-0.0861062060480893,-0.094767606881557,-0.100101557730982
-0.0748053932293104,-0.0790048537582224,-0.0602862445616688,-0.077899746642102,-0.0673727606452064,-0.0765666487519454,-0.0734496798649897,-0.0885107938811179
-0.0761563073861001,-0.0644153937585664,-0.0559908306149021,-0.0810959790490063,-0.0571052521895455,-0.0761199390357907,-0.0716581546885962,-0.0928013235925545
-0.0796608702713153,-0.0583585402960649,-0.064273518629211,-0.0797390085033772,-0.0595632952021743,-0.0841320554885473,-0.0853322638143415,-0.06905397977888
-0.0730713258179504,-0.0601500112972169,-0.0525829617339678,-0.0779348529171209,-0.0530254563368731,-0.0729810789277666,-0.0758661510651532,-0.0729368929659984
-0.0614136114357398,-0.0626160868007471,-0.0529913343625692,-0.0786737550255665,-0.0805406908310166,-0.0735838019509774,-0.0655009367801395,-0.080248089525716
-0.0648555223132437,-0.034384588876433,-0.0545069374055573,-0.0721436730130885,-0.0554254646463433,-0.0696277287866353,-0.0665486922287196,-0.0734236072092191
-0.0652451781599302,-0.0556437899144081,-0.0534837607585855,-0.0841456739822881,-0.0705923255697062,-0.0708284277183422,-0.0779987120879737,-0.0777654443417485
-0.0721191654422727,-0.0573295063643006,-0.059862737656795,-0.0930522255472759,-0.0613780234928196,-0.0760023735664491,-0.0714085694185822,-0.0973659221036481
-0.0665806048891449,-0.0679178270586092,-0.0634891895684636,-0.077879307595479,-0.0630175125737104,-0.0714102804960821,-0.0811354187064573,-0.091489020198265
-0.071390705385129,-0.0632040254188167,-0.0532204114863008,-0.0885901080253958,-0.0520349978660022,-0.0745649931000609,-0.0930745510025147,-0.072309095442313
-0.0695382880139957,-0.0638840150486748,-0.0488784253970421,-0.0835089781630468,-0.0583842627122953,-0.0754689480825766,-0.0764335172390071,-0.0768896068343603
-0.0705122867398908,-0.0543692252584831,-0.0494425065144452,-0.0755492334152223,-0.0583261939685843,-0.0697588468253629,-0.0675213236557458,-0.0677754750061642
-0.0616247955313127,-0.0563783880154171,-0.045954352796846,-0.0727444702555472,-0.0492172150387266,-0.0676602421938825,-0.0704643342270179,-0.0704211588619183
-0.0662357601612424,-0.0667208973762945,-0.0537025940343479,-0.0708119186404954,-0.063204791315266,-0.067232404707246,-0.0599381029361268,-0.0703163939731673
-0.0609550898927019,-0.0562376977785534,-0.0466199762895849,-0.0774585527791941,-0.0524083108622175,-0.0689394360303714,-0.0589661899811958,-0.0737481723176937
