"date","WFC","JPM","BAC","C","BK","STT","GS","MS"
2008-01-02,-0.0367726026648509,-0.0344943077732385,-0.0171110752322474,-0.0178208346959021,-0.0340005014422955,-0.0289875379598934,-0.0352573929865221,-0.0415204739673345
2008-01-03,-0.0201325786313515,-0.00690061045130497,-0.00643093979901854,0.000345638724271069,0.0423738785950913,0.0790671139014396,-0.0133840131265544,-0.00019632937544678
2008-01-04,-0.0367832933689409,-0.0229451193757702,-0.0112290890907243,-0.0241396861300274,-0.0209624609676409,-0.0424730736621122,-0.0242618967954273,-0.0327243891557036
2008-01-07,0.00688782857231418,0.0099672637493109,0.00125401897311272,0.000708007109221143,0.0136140506056632,0.00694234568885044,-0.0263533070992619,-0.0202854614987054
2008-01-08,-0.0435653977572921,-0.0404793413715612,-0.0380585316633164,-0.0404387661886707,-0.0377876286766026,-0.0124573666129129,-0.0272249386497432,-0.0403390969303064
2008-01-09,0.0201725551648346,0.0140071576524843,0.00855486724726129,0.0128136480519023,0.0166688318048878,0.0309764265175465,0.0118034157248843,0.0282606286821481
2008-01-10,0.0316677593912198,0.0262303063800937,0.0143517838248481,0.0223031259121225,-0.00545536392837187,-0.00693453289313517,0.0265543516235622,0.014146272933798
2008-01-11,0.0103369658568293,-0.0114370630513503,-0.020566252136184,0.0158817522166297,-0.0219087569932639,-0.00662048757850364,0.00925067109078803,-0.000413243811802744
2008-01-14,0.000354476160421502,0.0121626405148341,0.0185286049716566,0.0173555203092866,0.0134574495602369,0.0245747539351955,0.0145360286031364,0.0104842772408209
2008-01-15,-0.0629091862815034,-0.0544031577598685,-0.0347635515483629,-0.0757505300785715,-0.0462472723832277,-0.0612287519377057,-0.0423418759612053,-0.0368676752270738
2008-01-16,0.0326802563049622,0.0560941594710562,0.021157848148917,-0.0263272075004677,0.00199800266267314,0.0200924777395812,0.02154696873753,0.00550145272445146
2008-01-17,-0.0463635183266078,-0.0341262766672661,-0.0470986258240425,-0.0500103736703466,-0.00712222018011843,-0.0823784638238587,-0.0335698947637217,-0.0462085447320635
2008-01-18,-0.0251902105583701,-0.0113024183040054,-0.0257972315334296,-0.0206443516188068,-0.0230466594492511,-0.0123424962005467,-0.0199376707661134,-0.00309869655759742
2008-01-22,0.0560895037567941,0.0315750527452496,0.0387179767354255,-0.00204708362172479,0.0292813490531652,0.0108747395725945,0.0184180645234209,0.0730781692229758
2008-01-23,0.0863308022482143,0.112384246935587,0.081625614974453,0.0772646000969104,0.0258559761433457,0.059107498314769,0.044613617468749,0.0632756580454292
2008-01-24,0.0588210842935766,-0.016762677455433,-0.0166525031972262,0.036137223636115,-0.0139405437747837,0.027191470469619,-0.000953370713254742,-0.00913250290563195
2008-01-25,-0.0161763475588796,-0.0297990452933297,-0.0105821594558488,-0.0255711328825159,-0.0382297360288955,-0.0389659944913125,-0.0401006292956803,-0.0467524418146374
2008-01-28,0.0365073848959216,0.0432754672256785,0.0426440660620444,0.0372119048186779,0.0362536677604499,0.0140375373936763,0.025180655867941,0.0142163443645691
2008-01-29,0.0248459686833771,0.0404269408549607,0.0178017210028623,0.00935934107755809,-0.009273592419758,0.00401053316140043,-0.00101961262195793,-0.00262495862613088
2008-01-30,0.00489597091183924,-0.00210976873731417,0.00641713447315118,-0.00107552619518714,0.0026583754249323,0.0014998503280319,0.0126712286462451,-0.0169235968957793
2008-01-31,0.0395025627117533,0.00105549350168488,0.0449358362467427,0.0103480816360744,0.0287852186883848,0.0252803765980945,0.00502387384176473,0.0144944661220783
2008-02-01,-0.0126976451204603,0.017773556889872,0.0197359397559813,0.0525526440800546,0.0258873351538096,0.0222779754218507,0.0404149763010331,-0.0223392833162159
2008-02-04,-0.0695237765295169,-0.0429832013031048,-0.0224577150501881,-0.0159568211765295,-0.0209554070695774,-0.0151191024911084,-0.0341704200717894,-0.00457003292858271
2008-02-05,-0.0297467788181311,-0.051726145565981,-0.038430656019012,-0.0771664420978233,-0.0426061386351853,-0.0239825395106132,-0.0560224390371218,-0.0527956343283527
